대학이름,본분교,지역,모집시기,학과,전형유형,전형세부,전형명,2023년도 모집인원,2022학년도 경쟁률,2022학년도 평균등급
건국대학교,본교 ,서울,수시,스마트ICT융합공학과,학생부위주,교과,KU지역균형,4,19.5,2
건국대학교,본교 ,서울,수시,스마트ICT융합공학과,학생부위주,종합,KU자기추천,11,20.55,2.8
건국대학교,본교 ,서울,수시,전기전자공학부,학생부위주,교과,KU지역균형,29,32.26,1.8
건국대학교,본교 ,서울,수시,전기전자공학부,학생부위주,종합,KU자기추천,42,20.2,2.8
건국대학교,본교 ,서울,수시,전기전자공학부,학생부위주,종합,사회통합,1,15,
건국대학교,본교 ,서울,수시,전기전자공학부,학생부위주,종합,특성화고교졸업자,1,23,
건국대학교,본교 ,서울,수시,전기전자공학부,학생부위주,종합,농어촌학생,4,1,
건국대학교,본교 ,서울,수시,컴퓨터공학부,학생부위주,교과,KU지역균형,21,38.24,1.7
건국대학교,본교 ,서울,수시,컴퓨터공학부,학생부위주,종합,KU자기추천,37,24.24,2.9
건국대학교,본교 ,서울,수시,컴퓨터공학부,학생부위주,종합,사회통합,1,22,
건국대학교,본교 ,서울,수시,컴퓨터공학부,학생부위주,종합,특성화고교졸업자,2,27,
건국대학교,본교 ,서울,수시,컴퓨터공학부,학생부위주,종합,농어촌학생,2,1,
경희대학교,본교 ,서울,수시,생체의공학과,학생부위주,교과,지역균형전형,5,10.44,1.6
경희대학교,본교 ,서울,수시,생체의공학과,학생부위주,종합,네오르네상스전형,9,25.36,2.2
경희대학교,본교 ,서울,수시,생체의공학과,학생부위주,종합,고른기회전형(I-기회균등),2,11.5,2
경희대학교,본교 ,서울,수시,소프트웨어융합학과,학생부위주,교과,지역균형전형,7,11.33,1.6
경희대학교,본교 ,서울,수시,소프트웨어융합학과,학생부위주,종합,네오르네상스전형,16,14.72,2.3
경희대학교,본교 ,서울,수시,소프트웨어융합학과,학생부위주,종합,고른기회전형(I-기회균등),2,14.5,2.1
경희대학교,본교 ,서울,수시,소프트웨어융합학과,학생부위주,종합,고른기회전형(II),2,7,2.5
경희대학교,본교 ,서울,수시,소프트웨어융합학과,실기/실적위주,특기자,실기우수자전형(K-SW인재),4,17.5,3.6
경희대학교,본교 ,서울,수시,인공지능학과,학생부위주,교과,지역균형전형,5,9.4,1.8
경희대학교,본교 ,서울,수시,인공지능학과,학생부위주,종합,네오르네상스전형,14,14.43,2.3
경희대학교,본교 ,서울,수시,전자공학과,학생부위주,교과,지역균형전형,22,13.56,1.6
경희대학교,본교 ,서울,수시,전자공학과,학생부위주,종합,네오르네상스전형,28,15.61,2.2
경희대학교,본교 ,서울,수시,전자공학과,학생부위주,종합,고른기회전형(I-기회균등),3,11,1.7
경희대학교,본교 ,서울,수시,전자공학과,학생부위주,종합,고른기회전형(II),4,8,2.5
경희대학교,본교 ,서울,수시,정보디스플레이학과,학생부위주,교과,지역균형전형,7,16.71,1.5
경희대학교,본교 ,서울,수시,정보디스플레이학과,학생부위주,종합,네오르네상스전형,14,8.69,2.9
경희대학교,본교 ,서울,수시,정보디스플레이학과,학생부위주,종합,고른기회전형(I-기회균등),3,8.67,1.9
경희대학교,본교 ,서울,수시,정보디스플레이학과,학생부위주,종합,고른기회전형(II),2,5.5,3
경희대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,교과,지역균형전형(,11,14.2,1.5
경희대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,종합,네오르네상스전형,21,13.37,2.1
경희대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,종합,고른기회전형(I-기회균등),2,14,2
경희대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,종합,고른기회전형(II),3,9.67,2
경희대학교,본교 ,서울,수시,컴퓨터공학과,실기/실적위주,특기자,실기우수자전형(K-SW인재),6,12.67,4.2
고려대학교,본교 ,서울,수시,데이터과학과,학생부위주,교과,학교추천,7,11.43,
고려대학교,본교 ,서울,수시,데이터과학과,학생부위주,종합,기회균등-고른기회,1,13,
